date,other_united_states,qpp_o_united_states,other_new_england,qpp_new_england,other_connecticut,qpp_connecticut,other_maine,qpp_maine,wind_minnesota,qpp_w_minnesota,wind_california,qpp_w_california,wind_united_states,qpp_w_united_states,year,month
2001-01-01,6025,Greatest,678,medium,75,low,348,medium,86,Greatest,133,Greatest,389,Greatest,2001,1
2001-02-01,5310,Greatest,599,Greatest,77,low,293,Greatest,73,Greatest,148,Greatest,431,Greatest,2001,2
2001-03-01,5795,Greatest,660,high,96,negligible,327,high,67,Greatest,300,Greatest,532,Greatest,2001,3
2001-04-01,5827,Greatest,593,Greatest,92,negligible,277,Greatest,91,Greatest,393,high,685,Greatest,2001,4
2001-05-01,5738,Greatest,640,high,72,low,336,high,73,Greatest,378,high,635,Greatest,2001,5
2001-06-01,5964,Greatest,633,high,71,low,324,high,64,Greatest,438,high,670,Greatest,2001,6
2001-07-01,6244,Greatest,632,high,72,low,323,high,56,Greatest,440,high,635,Greatest,2001,7
2001-08-01,6293,Greatest,684,medium,72,low,365,medium,49,Greatest,408,high,577,Greatest,2001,8
2001-09-01,5770,Greatest,635,high,69,low,339,high,55,Greatest,293,Greatest,490,Greatest,2001,9
2001-10-01,6050,Greatest,551,Greatest,69,low,250,Greatest,91,Greatest,253,Greatest,607,Greatest,2001,10
2001-11-01,5713,Greatest,604,Greatest,70,low,299,Greatest,97,Greatest,143,Greatest,470,Greatest,2001,11
2001-12-01,6038,Greatest,650,high,73,low,344,medium,92,Greatest,172,Greatest,616,Greatest,2001,12
2002-01-01,6599,Greatest,646,high,67,medium,362,medium,98,Greatest,131,Greatest,811,Greatest,2002,1
2002-02-01,5800,Greatest,574,Greatest,59,Greatest,309,Greatest,103,Greatest,153,Greatest,714,Greatest,2002,2
2002-03-01,6354,Greatest,657,high,73,low,346,medium,58,Greatest,267,Greatest,852,Greatest,2002,3
2002-04-01,6543,Greatest,575,Greatest,67,medium,300,Greatest,95,Greatest,409,high,1024,Greatest,2002,4
2002-05-01,6760,Greatest,621,high,71,low,335,high,83,Greatest,478,high,1078,Greatest,2002,5
2002-06-01,7066,Greatest,611,Greatest,70,low,339,high,77,Greatest,557,medium,1126,Greatest,2002,6
2002-07-01,7056,Greatest,646,high,73,low,358,medium,34,Greatest,443,high,890,Greatest,2002,7
2002-08-01,7044,Greatest,644,high,71,low,348,medium,58,Greatest,476,high,977,Greatest,2002,8
2002-09-01,6582,Greatest,633,high,66,medium,349,medium,74,Greatest,295,Greatest,736,Greatest,2002,9
2002-10-01,6559,Greatest,604,Greatest,66,medium,328,high,61,Greatest,284,Greatest,734,Greatest,2002,10
2002-11-01,6250,Greatest,596,Greatest,68,low,318,high,76,Greatest,158,Greatest,656,Greatest,2002,11
2002-12-01,6497,Greatest,661,high,71,low,351,medium,88,Greatest,149,Greatest,755,Greatest,2002,12
2003-01-01,6500,Greatest,598,Greatest,62,high,313,Greatest,79,Greatest,109,Greatest,632,Greatest,2003,1
2003-02-01,5962,Greatest,534,Greatest,60,high,279,Greatest,92,Greatest,193,Greatest,745,Greatest,2003,2
2003-03-01,6719,Greatest,578,Greatest,67,medium,296,Greatest,103,Greatest,326,high,1036,Greatest,2003,3
2003-04-01,6674,Greatest,511,Greatest,67,medium,258,Greatest,86,Greatest,424,high,1093,Greatest,2003,4
2003-05-01,6473,Greatest,567,Greatest,67,medium,295,Greatest,78,Greatest,453,high,1006,Greatest,2003,5
2003-06-01,6678,Greatest,564,Greatest,64,high,286,Greatest,54,Greatest,549,medium,1047,Greatest,2003,6
2003-07-01,7009,Greatest,615,Greatest,70,low,317,high,64,Greatest,432,high,953,Greatest,2003,7
2003-08-01,6790,Greatest,648,high,65,medium,359,medium,47,Greatest,396,high,815,Greatest,2003,8
2003-09-01,6537,Greatest,604,Greatest,66,medium,328,high,84,Greatest,340,high,895,Greatest,2003,9
2003-10-01,6548,Greatest,555,Greatest,66,medium,272,Greatest,82,Greatest,285,Greatest,897,Greatest,2003,10
2003-11-01,6531,Greatest,580,Greatest,65,medium,299,Greatest,110,Greatest,188,Greatest,961,Greatest,2003,11
2003-12-01,7067,Greatest,573,Greatest,66,medium,284,Greatest,100,Greatest,201,Greatest,1105,Greatest,2003,12
2004-01-01,6888,Greatest,573,Greatest,55,Greatest,283,Greatest,61,Greatest,130,Greatest,999,Greatest,2004,1
2004-02-01,6489,Greatest,574,Greatest,57,Greatest,307,Greatest,64,Greatest,202,Greatest,1022,Greatest,2004,2
2004-03-01,7001,Greatest,608,Greatest,64,high,324,high,81,Greatest,288,Greatest,1291,Greatest,2004,3
2004-04-01,6895,Greatest,517,Greatest,67,medium,258,Greatest,68,Greatest,399,high,1295,Greatest,2004,4
2004-05-01,7339,high,597,Greatest,67,medium,294,Greatest,82,Greatest,634,medium,1702,high,2004,5
2004-06-01,7098,Greatest,540,Greatest,65,medium,274,Greatest,53,Greatest,683,medium,1397,Greatest,2004,6
